P0001000;0;P0001000;;Geschichte;lkl=p*;History
P0262000;3;P0262000;P0234000;Geschichte der europäischen Länder im Krieg;lkl=pfr 600;History of European Countries at War
P0263000;4;P0263000;P0262000;Deutschland;lkl=pfr 610 or lkl=pfr 615;Germany
P0264000;4;P0264000;P0262000;Switzerland;lkl=pfr 616;Switzerland
P0265000;4;P0265000;P0262000;Nordeuropa;lkl=pfr 620;Northern Europe
P0266000;4;P0266000;P0262000;Beneluxstaaten;lkl=pfr 625;Low Countries
P0267000;4;P0267000;P0262000;Großbritannien;lkl=pfr 630;Great Britain
P0268000;4;P0268000;P0262000;Personen;lkl=pfr 638;Biographies
P0269000;4;P0269000;P0262000;Irland;lkl=pfr 639;Ireland
P0270000;4;P0270000;P0262000;Frankreich;lkl=pfr 640;France
P0271000;4;P0271000;P0262000;Italien;lkl=pfr 650;Italy
P0272000;4;P0272000;P0262000;Tschechoslowakei, Ungarn, Polen;lkl=pfr 660;Czchechoslovakia, Hungary, Poland
P0273000;4;P0273000;P0262000;Südosteuropa (Jugoslawien, Bulgarien, Rumänien, Griechenland);lkl=pfr 665;South-Eastern Europe (Yugoslavia, Bulgaria, Romania, Greece)
P0274000;4;P0274000;P0262000;Sowjetunion;lkl=pfr 670;Soviet Union
P0275000;3;P0275000;P0234000;Asiatischer Raum;lkl=pfr 700 or lkl=pfr 710 or lkl=pfr 720 or lkl=pfr 730 or lkl=pfr 740;Asian Region
P0276000;3;P0276000;P0234000;Amerika;lkl=pfr 76* or lkl=pfr 77*;America
P0277000;4;P0277000;P0276000;Kanada;lkl=pfr 760;Canada
P0278000;4;P0278000;P0276000;Vereinigte Staaten;lkl=pfr 770;United States
P0279000;4;P0279000;P0276000;Personen;lkl=pfr 778;Biographies
P0280000;3;P0280000;P0234000;Afrika;lkl=pfr 780;Africa
P0281000;3;P0281000;P0234000;Australien und Neuseeland;lkl=pfr 790;Australia and New Zealand
P0282000;1;P0282000;P0001000;Alte Geschichte;lkl=pg*;Ancient History
P0283000;2;P0283000;P0282000;Nachschlagewerke, Handbücher;lkl=pg 000;Factual Reference Works, Handbooks
P0284000;3;P0284000;P0283000;Quellen;lkl=pg 1*;Primary Sources 
P0285000;3;P0285000;P0283000;Politische Geschichte;lkl=pg 200 or lkl=pg 900;Political History
P0286000;3;P0286000;P0283000;Gesellschaft;lkl=pg 300;Society
P0287000;3;P0287000;P0283000;Wirtschaft;lkl=pg 400;Economy
P0288000;3;P0288000;P0283000;Kultur;lkl=pg 500;Culture
P0289000;3;P0289000;P0283000;Stadt- und Ortsgeschichte;lkl=pg 700;Local History
P0290000;2;P0290000;P0282000;Alter Orient und Nordafrika;lkl=pgb 000;Ancient Orient and North Africa
P0291000;3;P0291000;P0290000;Quellen;lkl=pgb 1*;Primary Sources 
P0292000;3;P0292000;P0290000;Politische Geschichte;lkl=pgb 200 or lkl=pgb 900;Political History
P0293000;3;P0293000;P0290000;Gesellschaft;lkl=pgb 300;Society
P0294000;3;P0294000;P0290000;Wirtschaft;lkl=pgb 400;Economy
P0295000;3;P0295000;P0290000;Kultur;lkl=pgb 500;Culture
P0296000;3;P0296000;P0290000;Regionalgeschichte;lkl=pgb 600;Regional Studies
P0297000;3;P0297000;P0290000;Stadt- und Ortsgeschichte;lkl=pgb 700;Local History
P0298000;3;P0298000;P0290000;Mesopotamische Reiche;lkl=pgc 000;Mesopotamian Kingdoms
P0299000;3;P0299000;P0290000;Kleinasien;lkl=pgc 500;Asia Minor
P0300000;3;P0300000;P0290000;Persien (incl. Parther);lkl=pdg 000;Persia (incl. Parthians)
P0301000;3;P0301000;P0290000;Ägypten;lkl=pge 000;Egypt
P0302000;3;P0302000;P0290000;Palästina;lkl=pgf 000;Palestine
P0303000;3;P0303000;P0290000;Arabien;lkl=pgf 500;Arabia
P0304000;3;P0304000;P0290000;Phönizier und Karthago;lkl=pgg 000;Phoenicians and Carthage
P0305000;2;P0305000;P0282000;Griechische Welt;lkl=pgh 000;Grecian/ Hellenic world
P0306000;3;P0306000;P0305000;Quellen;lkl=pgh 1*;Primary Sources 
P0307000;3;P0307000;P0305000;Politische Geschichte;lkl=pgh 200 or lkl=pgh 300 or lkl=pgh 400 or lkl=pgh 500 or lkl=pgh 600 or lkl=pgh 800 or lkl=pgh 900;Political History
P0308000;3;P0308000;P0305000;Stadt- und Ortsgeschichte;lkl=pgh 700;Local History
P0309000;2;P0309000;P0282000;Griechenland (ca. 1100-336 v. Chr.);lkl=pgi 000;Greece (ca. 1100-336 B.C.)
P0310000;3;P0310000;P0309000;Quellen;lkl=pgi 1*;Primary Sources 
P0311000;3;P0311000;P0309000;Politische Geschichte;lkl=pgi 2*;Political History
P0312000;3;P0312000;P0309000;Gesellschaft, Wirtschaft, Kultur;lkl=pgi 300 or lkl=pgi 400 or lkl=pgi 500 or lkl=pgi 900;Society, Economy, Culture
P0313000;3;P0313000;P0309000;Regionalgeschichte;lkl=pgi 600;Regional Studies
P0314000;3;P0314000;P0309000;Stadt- und Ortsgeschichte;lkl=pgi 700;Local History
P0315000;3;P0315000;P0309000;Personen;lkl=pgi 800;Biographies
P0316000;2;P0316000;P0282000;Hellenistische Zeit (336-31 v. Chr.): Nachschlagewerke, Handbücher;lkl=pgj 000;Hellenistic Period (336-31 B.C.): Factual Reference Works, Handbooks
P0317000;3;P0317000;P0316000;Quellen;lkl=pgj 1*;Primary Sources 
P0318000;3;P0318000;P0316000;Politische Geschichte;lkl=pgj 2* or lkl=pgj 900;Political History
P0319000;3;P0319000;P0316000;Alexander d.Gr. und Diadochenreiche;lkl=pgj 210;Alexander the Great and the Kingdoms of the Diadochi
P0320000;3;P0320000;P0316000;Zeit nach 280 (Ptolemäer, Seleukiden, Antigoniden, etc.);lkl=pgj 220 or lkl=pgj 230 or lkl=pgj 240 or lkl=pgj 250 or lkl=pgj 260 or lkl=pgj 270;Period after 280 (Ptolemaic, Seleucid, Antigonid dynasty, etc.)
P0321000;3;P0321000;P0316000;Gesellschaft, Wirtschaft, Kultur;lkl=pgj 300 or lkl=pgj 400 or lkl=pgj 500;Society, Economy, Culture
P0322000;3;P0322000;P0316000;Regionalgeschichte;lkl=pgj 600;Regional Studies
P0323000;3;P0323000;P0316000;Stadt- und Ortsgeschichte;lkl=pgj 700;Local History
P0324000;3;P0324000;P0316000;Personen;lkl=pgj 800;Biographies
P0325000;2;P0325000;P0282000;Etrusker und vorrömisches Italien;lkl=pgm 000;Etruscians and pre-Roman Italy
P0326000;2;P0326000;P0282000;Römisches Reich: Nachschlagewerke, Handbücher;lkl=pgo 000;Roman Empire:  Factual Reference Works, Handbooks
P0327000;3;P0327000;P0326000;Quellen;lkl=pgo 1*;Primary Sources 
P0328000;3;P0328000;P0326000;Politische Geschichte;lkl=pgo 200 or lkl=pgo 900;Political History
P0329000;3;P0329000;P0326000;Gesellschaft;lkl=pgo 300;Society
P0330000;3;P0330000;P0326000;Wirtschaft;lkl=pgo 400;Economy
P0331000;3;P0331000;P0326000;Kultur;lkl=pgo 500;Culture
P0332000;3;P0332000;P0326000;Regionalgeschichte;lkl=pgo 600;Regional Studies
P0333000;3;P0333000;P0326000;Stadt- und Ortsgeschichte;lkl=pgo 700;Local History
P0334000;2;P0334000;P0282000;Römisches Reich bis 31 v.Chr.: Nachschlagewerke, Handbücher;lkl=pgq 000;Roman Empire until 31 B.C.:  Factual Reference Works, Handbooks
P0335000;3;P0335000;P0334000;Quellen;lkl=pgq 1*;Primary Sources 
P0336000;3;P0336000;P0334000;Politische Geschichte;lkl=pgq 2* or lkl=pgq 900;Political History
P0337000;3;P0337000;P0334000;Gesellschaft, Wirtschaft, Kultur;lkl=pgq 300 or lkl=pgq 400 or lkl=pgq 500;Society, Economy, Culture
P0338000;3;P0338000;P0334000;Regionalgeschichte;lkl=pgq 600;Regional Studies
P0339000;3;P0339000;P0334000;Stadt- und Ortsgeschichte;lkl=pgq 700;Local History
P0340000;3;P0340000;P0334000;Personen;lkl=pgq 800;Biographies
P0341000;2;P0341000;P0282000;Kaiserzeit (31 v.Chr. - 476 n.Chr.): Nachschlagewerke, Handbücher;lkl=pgs 000;(Late) Roman Empire (31 B.C. - 476 A.D.): Factual Reference Works, Handbooks
P0342000;3;P0342000;P0341000;Quellen;lkl=pgs 1*;Primary Sources 
P0343000;3;P0343000;P0341000;Politische Geschichte;lkl=pgs 200 or lkl=pgs 900;Political History
P0344000;3;P0344000;P0341000;Gesellschaft;lkl=pgs 300 or lkl=pgs 400;Society
P0345000;3;P0345000;P0341000;Kultur;lkl=pgs 500;Culture
P0346000;3;P0346000;P0341000;Regionalgeschichte;lkl=pgs 600;Regional Studies
P0347000;3;P0347000;P0341000;Stadt- und Ortsgeschichte;lkl=pgs 700;Local History
P0348000;3;P0348000;P0341000;Personen;lkl=pgs 800;Biographies
P0349000;2;P0349000;P0282000;Byzantinisches Reich;lkl=pgx 000;Byzantine Empire
P0350000;3;P0350000;P0349000;Quellen;lkl=pgx 100;Primary Sources 
P0351000;3;P0351000;P0349000;Politische Geschichte;lkl=pgx 200 or lkl=pgx 900;Political History
P0352000;3;P0352000;P0349000;Personen;lkl=pgx 800;Biographies
P0353000;1;P0353000;P0001000;Europäische Geschichte in Mittelalter und Neuzeit;lkl=ph*;History of Europe in the Middle Ages and the Modern Period
P0354000;2;P0354000;P0353000;Nachschlagewerke, Handbücher;lkl=ph 000;Factual Reference Works, Handbooks
P0355000;3;P0355000;P0354000;Quellen;lkl=ph 1*;Primary Sources 
P0356000;3;P0356000;P0354000;Politische Geschichte;lkl=ph 200 or lkl=ph 900;Political History
P0357000;3;P0357000;P0354000;Gesellschaft;lkl=ph 300;Society
P0358000;3;P0358000;P0354000;Wirtschaft;lkl=ph 400;Economy
P0359000;3;P0359000;P0354000;Kultur;lkl=ph 500;Culture
P0360000;3;P0361000;P0354000;Ostseeraum;lkl=ph* and (thm=ostsee* or thm=baltic*);Baltic Sea area
P0362000;3;P0362000;P0354000;Mittelmeerraum;lkl=ph* and (thm=mediterr* or thm=mittelmeer*);Mediterranean area
P0363000;3;P0363000;P0354000;Stadtgeschichte;lkl=ph 700;Local History
P0364000;2;P0364000;P0353000;Frühes Mittelalter: Nachschlagewerke, Handbücher;lkl=pha 000;Early Middle Ages: Factual Reference Works, Handbooks
P0365000;3;P0365000;P0364000;Quellen;lkl=pha 1*;Primary Sources 
P0366000;3;P0366000;P0364000;Politische Geschichte;lkl=pha 200 or lkl=pha 900;Political History
P0367000;3;P0367000;P0364000;Germanen und Völkerwanderung;lkl=pha 220;Germanic peoples and babarian migration
P0368000;3;P0368000;P0364000;Gesellschaft, Wirtschaft, Kultur;lkl=pha 300 or lkl=pha 400 or lkl=pha 500;Society, Economy, Culture
P0369000;2;P0369000;P0353000;Fränkisches Reich;lkl=phc 000;Frankish Kingdom
P0370000;3;P0370000;P0369000;Quellen;lkl=phc 1*;Primary Sources 
P0371000;3;P0371000;P0369000;Politische Geschichte;lkl=phc 2* or lkl=phc 900;Political History
P0372000;3;P0372000;P0369000;Gesellschaft;lkl=phc 300 or lkl=phc 400 or lkl=phc 500;Society
P0373000;2;P0373000;P0353000;Hoch- und Spätmittelalter: Nachschlagewerke, Handbücher;lkl=phe 000;High and Late Middle Ages : Factual Reference Works, Handbooks
P0374000;3;P0374000;P0373000;Quellen;lkl=phe 1*;Primary Sources 
P0375000;3;P0375000;P0373000;Politische Geschichte;lkl=phe 200;Political History
P0376000;3;P0376000;P0373000;Kriegswesen;lkl=phe* and (thm=war* or thm=krieg* or thm=milit* or thm=guerr*);Warfare
P0377000;3;P0377000;P0373000;Kreuzzüge: Nachschlagewerke, Gesamtdarstellungen;lkl=phf 000;Crusades: Factual Reference Works, Comprehensive Histories
P0378000;4;P0378000;P0377000;Quellen;lkl=phf 100;Primary Sources 
P0379000;4;P0379000;P0377000;Politische Geschichte;lkl=phf 200 or lkl=phf 300 or lkl=phf 800 or lkl=phf 900;Political History
P0380000;4;P0380000;P0377000;Die Ritterorden;lkl=phg*;Military Religious Orders
P0381000;3;P0381000;P0373000;Gesellschaft;lkl=phe 300;Society
P0382000;3;P0382000;P0373000;Frauen;lkl=phe* and (thm=frau* or thm=woman or thm=women or thm=femme*);Women
P0383000;3;P0383000;P0373000;Wirtschaft;lkl=phe 400;Economy
P0384000;3;P0384000;P0373000;Kultur;lkl=phe 5*;Culture
P0385000;3;P0385000;P0373000;Kirche und Religion;lkl=phe 5* and (thm=kirch* or thm=church* or thm=eglis* or thm=religion* or thm=frömmigk* or thm=ketzer* or thm=orden*);Church and religion
P0386000;3;P0386000;P0373000;Stadt- und Lokalgeschichte;lkl=phe 700;Local History
P0387000;3;P0387000;P0373000;Einzelbeiträge;lkl=phe 900;Miscellaneous
P0388000;2;P0388000;P0353000;Europäische Geschichte der Frühen Neuzeit (1500-1789): Nachschlagewerke, Handbücher;lkl=phh 000;Europe in the Early Modern Period (1500-1789): Factual Reference Works, Handbooks
P0389000;3;P0389000;P0388000;Quellen;lkl=phh 1*;Primary Sources 
P0390000;3;P0390000;P0388000;Politische Geschichte;lkl=phh 200;Political History
P0391000;3;P0391000;P0388000;Reformation, Konfessionsbildung;lkl=phh* and (thm=reformation* or thm=gegenreformat* or thm=confession* or thm=konfession*);Reformation, Confessionalisation
P0392000;3;P0392000;P0388000;Kriegswesen;lkl=phh* and (thm=war* or thm=krieg* or thm=militar* or thm=guerr*);Warfare
P0393000;3;P0393000;P0388000;Gesellschaft;lkl=phh 300;Society
P0394000;3;P0394000;P0388000;Adel;lkl=phh* and (thm=adel* or thm=aristocrac* or thm=noble*);Aristocracy
P0395000;3;P0395000;P0388000;Frauen;lkl=phh* and (thm=frau* or thm=woman or thm=women or thm= femme*);Women
P0396000;3;P0396000;P0388000;Hexenverfolgungen;lkl=phh* and (thm=hexe* or thm=witch*);Witch hunts
P0397000;3;P0397000;P0388000;Wirtschaft;lkl=phh 400;Economy
P0398000;3;P0398000;P0388000;Kultur;lkl=phh 500;Culture
P0399000;3;P0399000;P0388000;Kirche und Religion;lkl=phh 5* and (thm=kirch* or thm=church* or thm=eglis* or thm=religion* or thm=frömmigk* or thm=ketzer* or thm=orden*);Church and religion
P0400000;3;P0400000;P0388000;Aufklärung;lkl=phh 500 and (thm=aufklär* or thm=enlighten* or thm=lumier*);Enlightenment
P0401000;3;P0401000;P0388000;Stadt- und Lokalgeschichte;lkl=phh 700;Local History
P0402000;3;P0402000;P0388000;Einzelbeiträge;lkl=phh 900;Miscellaneous
P0403000;2;P0403000;P0353000;Europäische Geschichte zur Zeit der Französischen Revolution und Napoleons: Nachschlagewerke, Handbücher;lkl=phl 000;Europe at the time of the French Revolution and of Napoleon: Factual Reference Works, Handbooks
P0404000;3;P0404000;P0403000;Quellen;lkl=phl 1*;Primary Sources 
P0405000;3;P0405000;P0403000;Politische Geschichte;lkl=phl 200 or lkl=phl 900;Political History
P0406000;3;P0406000;P0403000;Gesellschaft, Wirtschaft, Kultur;lkl=phl 300 or lkl=phl 400 or lkl=phl 500;Society, Economy, Culture
P0407000;2;P0407000;P0353000;Europäische Geschichte im 19. Jahrhundert (1815-1914): Nachschlagewerke, Handbücher;lkl=pho 000;Europe in the 19th Century (1815-1914): Factual Reference Works, Handbooks
P0408000;3;P0408000;P0407000;Quellen;lkl=pho 1*;Primary Sources 
P0409000;3;P0409000;P0407000;Politische Geschichte;lkl=pho 200 or lkl=pho 900;Political History
P0410000;3;P0410000;P0407000;Gesellschaft;lkl=pho 300;Society
P0411000;3;P0411000;P0407000;Wirtschaft;lkl=pho 400;Economy
P0412000;3;P0412000;P0407000;Kultur;lkl=pho 500;Culture
P0413000;3;P0413000;P0407000;Stadt- und Lokalgeschichte;lkl=pho 700;Local History
P0414000;2;P0414000;P0353000;Europäische Geschichte zur Zeit der Weltkriege (1914-1945);lkl=phr 000;Europe between the World Wars (1914-1945)
P0415000;3;P0415000;P0414000;Quellen;lkl=phr 1*;Primary Sources 
P0416000;3;P0416000;P0414000;Politische Geschichte;lkl=phr 200 or lkl=phr 900;Political History
P0417000;3;P0417000;P0414000;Gesellschaft;lkl=phr 300;Society
P0418000;3;P0418000;P0414000;Wirtschaft;lkl=phr 400;Economy
P0419000;3;P0419000;P0414000;Kultur;lkl=phr 500;Culture
P0420000;2;P0420000;P0353000;Europäische Geschichte der Nachkriegszeit (1945-): Nachschlagewerke, Handbücher;lkl=phu 000;Europe after World War Two (1945-): Factual Reference Works, Handbooks
P0421000;3;P0421000;P0420000;Quellen;lkl=phu 1*;Primary Sources 
P0422000;3;P0422000;P0420000;Politische Geschichte;lkl=phu 200 or lkl=phu 900;Political History
P0423000;3;P0423000;P0420000;Europa und die USA;lkl=phu 200 and (thm=usa or thm=us or thm=vereinigte staaten or thm=etats un*);Europe and the USA
P0424000;3;P0424000;P0420000;Europäische Integration;lkl=phu 200 and sww=europäische integration;European Integration
P0425000;3;P0425000;P0420000;Gesellschaft;lkl=phu 300;Society
P0426000;3;P0426000;P0420000;Wirtschaft;lkl=phu 400;Economy
P0427000;3;P0427000;P0420000;Kultur;lkl=phu 500;Culture
P0428000;1;P0428000;P0001000;Deutsche Geschichte;lkl=pi*;History of Germany
P0429000;2;P0429000;P0428000;Nachschlagewerke, Handbücher;lkl=pi 000;Factual Reference Works, Handbooks
P0430000;3;P0430000;P0429000;Quellen;lkl=pi 1*;Primary Sources 
P0431000;3;P0431000;P0429000;Politische Geschichte;lkl=pi 200;Political History
P0432000;3;P0432000;P0429000;Gesellschaft;lkl=pi 300;Society
P0433000;3;P0433000;P0429000;Wirtschaft;lkl=pi 400;Economy
P0434000;3;P0434000;P0429000;Kultur;lkl=pi 500;Culture
P0435000;3;P0435000;P0429000;Biographische Nachschlagewerke;lkl=pi 800;Biographical Reference Works
P0436000;3;P0436000;P0429000;Einzelbeiträge;lkl=pi 900;Miscellaneous
P0437000;2;P0437000;P0428000;Deutsche Geschichte im Mittelalter: Nachschlagewerke, Handbücher;lkl=pia 000;Germany in the Middle Ages: Factual Reference Works, Handbooks
P0438000;3;P0438000;P0437000;Quellen: übergreifende Sammlungen;lkl=pia 1*;Primary Sources  : comprehensive collections
P0439000;3;P0439000;P0437000;Politische Geschichte;lkl=pia 200 or lkl=pia 900;Political History
P0440000;3;P0440000;P0437000;Gesellschaft, Wirtschaft, Kultur;lkl=pia 300 or lkl=pia 400 or lkl=pia 500;Society, Economy, Culture
P0441000;3;P0441000;P0437000;Biographische Nachschlagewerke;lkl=pia 800;Biographical Reference Works
P0442000;3;P0442000;P0437000;Deutschland im frühen Mittelalter - Allgemeines: Nachschlagewerke, Handbücher;lkl=pib 000;Germany in the Early Middle Ages in general: Factual Reference Works, Handbooks
P0443000;4;P0443000;P0442000;Quellen;lkl=pib 1*;Primary Sources 
P0444000;4;P0444000;P0442000;Politische Geschichte;lkl (pib 200 or lkl=pib 300 or lkl=pib 400 or lkl=pib 500 or lkl=pib 900);Political History
P0445000;3;P0445000;P0437000;Deutschland im Zeitalter der Merowinger und Karolinger: Nachschlagewerke, Handbücher;lkl=pic 000;Germany under the Merovingians and Carolingians: Factual Reference Works, Handbooks
P0446000;4;P0446000;P0445000;Quellen;lkl=pic 1*;Primary Sources 
P0447000;4;P0447000;P0445000;Politische Geschichte;lkl=pic 2* or lkl=pic 900;Political History
P0448000;4;P0448000;P0445000;Gesellschaft, Wirtschaft, Kultur;lkl=pic 300 or lkl=pic 400 or lkl=pic 500;Society, Economy, Culture
P0449000;4;P0449000;P0445000;Personen;lkl=pic 800;Biographies
P0450000;3;P0450000;P0437000;Deutschland im Zeitalter der Ottonen, Salier und Staufer: Nachschlagewerke, Handbücher;lkl=pid 000;Germany under the Ottonians, Salians and Staufer : Factual Reference Works, Handbooks
P0451000;4;P0451000;P0450000;Quellen;lkl=pid 1*;Primary Sources 
P0452000;4;P0452000;P0450000;Politische Geschichte;lkl=pid 200 or lkl=pid 900;Political History
P0453000;4;P0453000;P0450000;Zeit der Ottonen (911-1024);lkl=pid 22*;Ottonian dynasty (911-1024)
P0454000;4;P0454000;P0450000;Zeit der Salier (1024-1137);lkl=pid 23*;Salian dynasty (1024-1137)
P0455000;4;P0455000;P0450000;Zeit der Staufer (1138-1254);lkl=pid 24*;Dynasty of the Staufer (1138-1254)
P0456000;4;P0456000;P0450000;1138-1190;lkl=pid 244;1138-1190
P0457000;4;P0457000;P0450000;1190-1254;lkl=pid 248;1190-1254
P0458000;4;P0458000;P0450000;Gesellschaft, Wirtschaft;lkl=pid 300 or lkl=pid 400;Society, Economy
P0459000;4;P0459000;P0450000;Kultur und Kirche;lkl=pid 500;Culture und Church
P0460000;4;P0460000;P0450000;Personen;lkl=pid 800;Biographies
P0461000;3;P0461000;P0437000;Das Spätmittelalter (1250-1500): Nachschlagewerke, Handbücher;lkl=pie 000;The Late Middle Ages (1250-1500): Factual Reference Works, Handbooks
P0462000;4;P0462000;P0461000;Quellen;lkl=pie 1*;Primary Sources 
P0463000;4;P0463000;P0461000;Politische Geschichte;lkl=pie 200 or lkl=pie 900;Political History
P0464000;4;P0464000;P0461000;1250-1378;lkl=pie 220;1250-1378
P0465000;4;P0465000;P0461000;1378-1437;lkl=pie 240;1378-1437
P0466000;4;P0466000;P0461000;1437-1493;lkl=pie 260;1437-1493
P0467000;4;P0467000;P0461000;Gesellschaft;lkl=pie 300;Society
P0468000;4;P0468000;P0461000;Wirtschaft;lkl=pie 400;Economy
P0469000;4;P0469000;P0461000;Kultur;lkl=pie 500;Culture
P0470000;4;P0470000;P0461000;Personen;lkl=pie 800;Biographies
P0471000;2;P0471000;P0428000;Deutsche Geschichte der Frühen Neuzeit (1500-1789): Nachschlagewerke, Handbücher;lkl=pif 000;Germany in the Early Modern Period (1500-1789): Factual Reference Works, Handbooks
P0472000;3;P0472000;P0471000;Quellen;lkl=pif 1*;Primary Sources 
P0473000;3;P0473000;P0471000;Politische Geschichte;lkl=pif 200 or lkl=pif 900;Political History
P0474000;3;P0474000;P0471000;Reichsverfassung und Reichsreform;lkl=pif 260 or lkl=pig 260;Reichsverfassung and reform
P0475000;3;P0475000;P0471000;Gesellschaft;lkl=pif 300;Society
